"U_year","agegp","L_age","U_age","U_yearBorn","sex","cause","countDeaths","cohortDeaths","pctOfDeaths"
1969,"00-04",0,4,1969,"1","Blood/blood forming organs",7,9584,0.07
1969,"00-04",0,4,1969,"1","Circulatory system",23,9584,0.24
1969,"00-04",0,4,1969,"1","Congenital anomalies",188,9584,1.96
1969,"00-04",0,4,1969,"1","Death at <1 year",8269,9584,86.28
1969,"00-04",0,4,1969,"1","Digestive system",22,9584,0.23
1969,"00-04",0,4,1969,"1","Endocrine/nutritional/metabolic/immunity",35,9584,0.37
1969,"00-04",0,4,1969,"1","Genitourinary system",10,9584,0.1
1969,"00-04",0,4,1969,"1","Ill-defined/Other",8,9584,0.08
1969,"00-04",0,4,1969,"1","Infectious/parasitic",120,9584,1.25
1969,"00-04",0,4,1969,"1","Injury and poisoning",394,9584,4.11
1969,"00-04",0,4,1969,"1","Mental disorders",5,9584,0.05
1969,"00-04",0,4,1969,"1","Musculoskeletal/connective tissue",1,9584,0.01
1969,"00-04",0,4,1969,"1","Neoplasm",162,9584,1.69
1969,"00-04",0,4,1969,"1","Nervous system/sense organs",96,9584,1
1969,"00-04",0,4,1969,"1","Respiratory system",242,9584,2.53
1969,"00-04",0,4,1969,"1","Skin and subcutaneous tissue",2,9584,0.02
1969,"00-04",0,4,1969,"2","Blood/blood forming organs",12,7009,0.17
1969,"00-04",0,4,1969,"2","Circulatory system",18,7009,0.26
1969,"00-04",0,4,1969,"2","Congenital anomalies",184,7009,2.63
1969,"00-04",0,4,1969,"2","Death at <1 year",5998,7009,85.58
1969,"00-04",0,4,1969,"2","Digestive system",36,7009,0.51
1969,"00-04",0,4,1969,"2","Endocrine/nutritional/metabolic/immunity",28,7009,0.4
1969,"00-04",0,4,1969,"2","Genitourinary system",7,7009,0.1
1969,"00-04",0,4,1969,"2","Ill-defined/Other",7,7009,0.1
1969,"00-04",0,4,1969,"2","Infectious/parasitic",96,7009,1.37
1969,"00-04",0,4,1969,"2","Injury and poisoning",241,7009,3.44
1969,"00-04",0,4,1969,"2","Mental disorders",1,7009,0.01
1969,"00-04",0,4,1969,"2","Musculoskeletal/connective tissue",3,7009,0.04
1969,"00-04",0,4,1969,"2","Neoplasm",116,7009,1.66
1969,"00-04",0,4,1969,"2","Nervous system/sense organs",68,7009,0.97
1969,"00-04",0,4,1969,"2","Originating from perinatal period",1,7009,0.01
1969,"00-04",0,4,1969,"2","Respiratory system",191,7009,2.73
1969,"00-04",0,4,1969,"2","Skin and subcutaneous tissue",2,7009,0.03
1969,"05-09",5,9,1964,"1","Blood/blood forming organs",11,816,1.35
1969,"05-09",5,9,1964,"1","Circulatory system",16,816,1.96
1969,"05-09",5,9,1964,"1","Congenital anomalies",75,816,9.19
1969,"05-09",5,9,1964,"1","Digestive system",18,816,2.21
1969,"05-09",5,9,1964,"1","Endocrine/nutritional/metabolic/immunity",25,816,3.06
1969,"05-09",5,9,1964,"1","Genitourinary system",4,816,0.49
1969,"05-09",5,9,1964,"1","Ill-defined/Other",1,816,0.12
