"U_year","sex","agegp","L_age","U_age","pop","U_yearBorn","initialPop","cumDeaths","remainingPop","PercentLiving"
1914,"1","00-04",0,4,381200,1914,381200,0,381200,100
1914,"1","05-09",5,9,375000,1909,NA,80119,NA,NA
1914,"1","10-14",10,14,357600,1904,NA,7243,NA,NA
1914,"1","15-19",15,19,288600,1899,NA,4201,NA,NA
1914,"1","20-24",20,24,171600,1894,NA,5975,NA,NA
1914,"1","25-29",25,29,181600,1889,NA,7222,NA,NA
1914,"1","30-34",30,34,218000,1884,NA,7307,NA,NA
1914,"1","35-39",35,39,229200,1879,NA,8385,NA,NA
1914,"1","40-44",40,44,219800,1874,NA,10204,NA,NA
1914,"1","45-49",45,49,198800,1869,NA,11456,NA,NA
1914,"1","50-54",50,54,164800,1864,NA,13166,NA,NA
1914,"1","55-59",55,59,136400,1859,NA,15486,NA,NA
1914,"1","60-64",60,64,105000,1854,NA,17797,NA,NA
1914,"1","65-69",65,69,79200,1849,NA,20909,NA,NA
1914,"1","70-74",70,74,50400,1844,NA,21808,NA,NA
1914,"1","75-79",75,79,28000,1839,NA,22958,NA,NA
1914,"1","80+",80,84,16600,1834,NA,18883,NA,NA
1914,"2","00-04",0,4,377400,1914,377400,0,377400,100
1914,"2","05-09",5,9,373000,1909,NA,64868,NA,NA
1914,"2","10-14",10,14,361400,1904,NA,7145,NA,NA
1914,"2","15-19",15,19,345000,1899,NA,4203,NA,NA
1914,"2","20-24",20,24,327800,1894,NA,5197,NA,NA
1914,"2","25-29",25,29,321800,1889,NA,5644,NA,NA
1914,"2","30-34",30,34,307400,1884,NA,6230,NA,NA
1914,"2","35-39",35,39,287200,1879,NA,6942,NA,NA
1914,"2","40-44",40,44,255200,1874,NA,8388,NA,NA
1914,"2","45-49",45,49,218600,1869,NA,9347,NA,NA
1914,"2","50-54",50,54,180200,1864,NA,10738,NA,NA
1914,"2","55-59",55,59,150000,1859,NA,12670,NA,NA
1914,"2","60-64",60,64,119600,1854,NA,14313,NA,NA
1914,"2","65-69",65,69,94200,1849,NA,17524,NA,NA
1914,"2","70-74",70,74,66600,1844,NA,20097,NA,NA
1914,"2","75-79",75,79,41000,1839,NA,24696,NA,NA
1914,"2","80+",80,84,28600,1834,NA,23186,NA,NA
1919,"1","00-04",0,4,345080,1919,345080,0,345080,100
1919,"1","05-09",5,9,366840,1914,381200,59345,321855,84.4320566631689
1919,"1","10-14",10,14,366760,1909,NA,87110,NA,NA
1919,"1","15-19",15,19,298640,1904,NA,11656,NA,NA
1919,"1","20-24",20,24,159320,1899,NA,11339,NA,NA
1919,"1","25-29",25,29,148080,1894,NA,14150,NA,NA
1919,"1","30-34",30,34,181120,1889,NA,16199,NA,NA
1919,"1","35-39",35,39,205040,1884,NA,16681,NA,NA
1919,"1","40-44",40,44,215160,1879,NA,18456,NA,NA
1919,"1","45-49",45,49,206240,1874,NA,21345,NA,NA
1919,"1","50-54",50,54,178600,1869,NA,24287,NA,NA
1919,"1","55-59",55,59,145760,1864,NA,27997,NA,NA
1919,"1","60-64",60,64,111560,1859,NA,32273,NA,NA
1919,"1","65-69",65,69,84000,1854,NA,37055,NA,NA
1919,"1","70-74",70,74,52120,1849,NA,42699,NA,NA
1919,"1","75-79",75,79,29280,1844,NA,42903,NA,NA
1919,"1","80+",80,84,17640,1839,NA,41306,NA,NA
1919,"2","00-04",0,4,340280,1919,340280,0,340280,100
1919,"2","05-09",5,9,364280,1914,377400,48353,329047,87.1878643349232
1919,"2","10-14",10,14,367440,1909,NA,71807,NA,NA
1919,"2","15-19",15,19,351720,1904,NA,11841,NA,NA
1919,"2","20-24",20,24,335240,1899,NA,10639,NA,NA
1919,"2","25-29",25,29,319840,1894,NA,12693,NA,NA
1919,"2","30-34",30,34,308480,1889,NA,14307,NA,NA
1919,"2","35-39",35,39,294120,1884,NA,14770,NA,NA
1919,"2","40-44",40,44,268240,1879,NA,15695,NA,NA
1919,"2","45-49",45,49,233720,1874,NA,17602,NA,NA
1919,"2","50-54",50,54,194040,1869,NA,19709,NA,NA
1919,"2","55-59",55,59,159960,1864,NA,22654,NA,NA
1919,"2","60-64",60,64,128040,1859,NA,26120,NA,NA
1919,"2","65-69",65,69,100920,1854,NA,30289,NA,NA
1919,"2","70-74",70,74,70960,1849,NA,36847,NA,NA
1919,"2","75-79",75,79,42720,1844,NA,41789,NA,NA
1919,"2","80+",80,84,30240,1839,NA,46120,NA,NA
1924,"1","00-04",0,4,359960,1924,359960,0,359960,100
1924,"1","05-09",5,9,327160,1919,345080,48548,296532,85.9313782311348
1924,"1","10-14",10,14,362280,1914,381200,63517,317683,83.3376180482686
1924,"1","15-19",15,19,354840,1909,NA,90178,NA,NA
1924,"1","20-24",20,24,306440,1904,NA,16370,NA,NA
1924,"1","25-29",25,29,269320,1899,NA,16742,NA,NA
1924,"1","30-34",30,34,261800,1894,NA,19271,NA,NA
1924,"1","35-39",35,39,250320,1889,NA,21825,NA,NA
1924,"1","40-44",40,44,249040,1884,NA,23846,NA,NA
1924,"1","45-49",45,49,232120,1879,NA,27534,NA,NA
1924,"1","50-54",50,54,206720,1874,NA,32812,NA,NA
1924,"1","55-59",55,59,162240,1869,NA,38163,NA,NA
1924,"1","60-64",60,64,128080,1864,NA,44526,NA,NA
1924,"1","65-69",65,69,92640,1859,NA,51890,NA,NA
1924,"1","70-74",70,74,61360,1854,NA,59259,NA,NA
1924,"1","75-79",75,79,32600,1849,NA,65267,NA,NA
1924,"1","80+",80,84,19440,1844,NA,62092,NA,NA
1924,"2","00-04",0,4,350800,1924,350800,0,350800,100
1924,"2","05-09",5,9,323080,1919,340280,38210,302070,88.771012107676
1924,"2","10-14",10,14,359120,1914,377400,52245,325155,86.1565977742448
1924,"2","15-19",15,19,358200,1909,NA,74899,NA,NA
1924,"2","20-24",20,24,343440,1904,NA,16421,NA,NA
1924,"2","25-29",25,29,328440,1899,NA,15974,NA,NA
1924,"2","30-34",30,34,308920,1894,NA,18287,NA,NA
1924,"2","35-39",35,39,291480,1889,NA,20107,NA,NA
1924,"2","40-44",40,44,282480,1884,NA,21417,NA,NA
1924,"2","45-49",45,49,253440,1879,NA,23469,NA,NA
